Designator,Mid X,Mid Y,Layer,Rotation
"A1","37.7673mm","-8.3103mm","Top",0
"J1","-0.4185mm","10.0508mm","Top",0
"J2","5.1268mm","10.0507mm","Top",0
"J3","-0.4185mm","3.4652mm","Top",0
"J4","4.122mm","3.4652mm","Top",0
"J5","0mm","-4.1548mm","Top",0
"J6","4.647mm","-4.1546mm","Top",0
"J7","-0.4185mm","-11.3647mm","Top",0
"J8","4.122mm","-11.3647mm","Top",0
"J9","73.4741mm","-31.8053mm","Top",0
"J10","73.4741mm","-3.8653mm","Top",0
"J11","73.4741mm","22.7372mm","Top",0
"R1","-7.3208mm","10.6638mm","Top",0
"R2","-7.3208mm","3.4652mm","Top",0
"R3","-7.3208mm","-4.1548mm","Top",0
"R4","-7.3208mm","-11.3647mm","Top",0
